ID	Synonyms	Definition	Definition in Sorani
ENG20-00014510-n	plant; flora; plant life; 	a living organism lacking the power of locomotion	ژینەوەرێکی گیاندارە کە توانی خۆگواستنەوەی نەبێ.
ENG20-00016236-n	object; physical object; 	a tangible and visible entity; an entity that can cast a shadow	هەبوونێکی دیار و راستەقینەیە؛ هەبوونێک کە بتوانێ کارگێڕیی هەبێ.
ENG20-00017087-n	natural object; 	an object occurring naturally; not made by man	شتێک کە سروشتی رووبدا؛ دەست‌تێ‌وەرنەدراو.
ENG20-00017572-n	substance; matter; 	that which has mass and occupies space	ئەو شتەی قورسیی هەبێ و ئاقارێک داگیر بکا.
ENG20-00018221-v	wake up; awake; arouse; awaken; wake; come alive; waken; 	stop sleeping	واز لە نووستن هێنان.
ENG20-00018827-n	food; nutrient; 	any substance that can be metabolized by an organism to give energy and build tissue	هەر ماکێک کە بتوانێ بە مێتابۆلایز کران لە لایەنی ژینەوەرێکەوە وزە بدات و  شانە سازبکا.
ENG20-00019146-v	affect; 	act physically on; have an effect upon	کارگێڕی لە سەر شتێک دانان؛ لە سەر شتێکدا کاریگەر بوون.
ENG20-00019244-n	artifact; artefact; 	a man-made object taken as a whole	شتێکی دەستکردیی مرۆڤە کە وەکوو یەکپارچەیییەک دەزاندرێ.
ENG20-00020136-n	article; 	one of a class of artifacts	یەکێکە لە دەستە وەبەرهێنراوەکان.
ENG20-00020333-n	psychological feature; 	a feature of the mental life of a living organism	دۆخێکی ژیانی رەوانیی ژینەوەرێکی گیاندارە.
ENG20-00020486-n	abstraction; 	a general concept formed by extracting common features from specific examples	چەمکێکی گشتییە کە بریتییە لە بەرچاوگرتنی تایبەتمەندیگەلی ئاساییی نموونەگەلی جیاواز.
ENG20-00020729-n	cognition; knowledge; noesis; 	the psychological result of perception and learning and reasoning	دەستکەوتی رەوانیی تێ‌روانین و فێربوون و لێکدانەوەیە.
ENG20-00021213-n	motivation; motive; need; 	the psychological feature that arouses an organism to action toward a desired goal; the reason for the action; that which gives purpose and direction to behavior	ئەو دۆخە رەوانییەی کە ژینەوەرێک بۆ تێکۆشان لە رێگای بەدەست هێنانی ئامانجێک، هەڵدەهرووژێنێ؛ هۆکاری تێکۆشان؛ ئەو شتەی کە دەتوانێ لە هەڵبژاردنی ئامانجەکان و بۆچوونەکاندا کارگێڕ بێ.
ENG20-00022265-v	stimulate; arouse; brace; energize; energise; perk up; 	cause to be alert and energetic	هۆکارێک بۆ وشیاری و رابوونەوە.
ENG20-00022625-n	location; 	a point or extent in space	خاڵێک یان مەودایەک لە ئاقاردا.
ENG20-00023103-n	shape; form; 	the spatial arrangement of something as distinct from its substance	شێوازی رێکخرانی ئاقاریی شتێک جیاواز لە ماکەکەی.
ENG20-00023548-n	time; 	the continuum of experience in which events pass from the future through the present to the past	زنجیرەیەک لە ئەزموونەکانە کە رووداوەکان لە داهاتووڕا هەتا ئێستاکە و رابردوو تێیدا روودەدەن.
ENG20-00024568-n	state; 	the way something is with respect to its main attributes	ئەو شێوازەیە کە شتێک دەگەڵ پێناسە سەرەکییەکانیدا لەپەیوەندیدا ببێ.
ENG20-00024764-v	tense; strain; tense up; 	make tense and uneasy or nervous or anxious;	پەشێو و پەرۆش یان وەڕەز و قەڵس بوون.
ENG20-00025848-v	relax; loosen up; unbend; unwind; decompress; slow down; 	become less tense, rest, or take one's ease	کەم کردنەوەی پەرۆشی، حاوانەوە، خۆ شڵوێ نەکردن.
ENG20-00025950-n	event; 	something that happens at a given place and time	شتێک کە لە جێگا و کاتێکی دیاریکراودا روودەدا.
ENG20-00026194-n	act; human action; human activity; 	something that people do or cause to happen	ئەو شتەی کە خەڵک دەیکەن یان دەبنە هۆی کرانی.
ENG20-00026695-v	stretch; extend; 	extend one's limbs or muscles, or the entire body	ئاسوودە بوونی لینگ و ماسکوولەکان یان هەموو لەشی کەسێک.
ENG20-00026769-n	group; grouping; 	any number of entities (members) considered as a unit	ئەژمارێک لە هەبوونەکان(ئەندامەکان) کە لە یەک بەشدان.
ENG20-00027371-n	possession; 	anything owned or possessed	ئەو شتەی خاوەنی هەبێ یان دەستی بە سەرگیرابێ.
ENG20-00027563-n	attribute; 	an abstraction belonging to or characteristic of an entity	واتابەخشییەک یان پێناسەیەک کە تایبەت بە هەبوونێکە.
ENG20-00027929-n	relation; 	an abstraction belonging to or characteristic of two entities or parts together	واتابەخشییەک یان پێناسەیەک کە تایبەت بە دوو هەبوون یان هەمووپێکهاتەنیانە.
ENG20-00028549-n	social relation; 	a relation between living organisms (especially between people)	پەیوەندییەکە لە نێوان ژینەوەرە گیاندارەکاندا(بە تایبەت لە نێوان مرۆڤاندا).
ENG20-00028764-n	communication; 	something that is communicated by or to or between people or groups	ئەو شتەی کە  دەبێتە هۆی لێک ئاگاداربوونی مرۆڤان یان گرووپان.
ENG20-00029881-n	phenomenon; 	any state or process known through the senses rather than by intuition or reasoning	بەو پڕۆسە یان دۆخە دەگوترێ کە پتر لەوەی بە هەڵسەنگاندن و توێژینەوە بناسدرێ، بەپێی هەستەکانیەوە دێتە ناسین.
ENG20-00030147-n	thing; 	an action	کردەوەیەک.
ENG20-00030242-n	kindness; benignity; 	a kind act	کردارێکی لەبەردڵان.
ENG20-00030589-n	accomplishment; achievement; 	the action of accomplishing something	ئەو پرۆسەیە کە تێیدا کارێک بە کۆتایی دەگا.
ENG20-00030639-v	laugh; express joy; express mirth; 	produce laughter	خولقاندنی بزە.
ENG20-00031905-n	deed; feat; effort; exploit; 	a notable achievement	دەستکەوتێکی بەرچاو.
ENG20-00032382-v	look; 	have a certain outward or facial expression	ئەوەی لە رواڵەتی شتێک بەدی دەکرێ یان وەکوو دۆخی دەم‌وچاو بەچاودا دێ.
ENG20-00032816-n	action; 	something done (usually as opposed to something said)	ئەوەی لە کاردا دەکرێ(بۆ دانانی جیاوازی لە نێوان وتە و کردەوەدا زۆرتر بەکاردەهێندرێ).
ENG20-00033574-n	course; course of action; 	a mode of action	دۆخی کردارێک.
ENG20-00034333-n	interaction; 	a mutual or reciprocal action; interacting	ئاکارێک کە دوولایەنە بێ  یان لە وڵامی کردەوەیەکی دیکەدا ئەنجام بدرێ؛ کارلێک کردن.
ENG20-00034523-v	cleanse; clean; 	clean one's body or parts thereof, as by washing	خاوێن کردنی ئەندامێک یان جەستەی کەسێک بەتایبەت لە رێگای شووشتنەوە.
ENG20-00034591-n	contact; 	close interaction	کارلێکەریی نزیک.
ENG20-00035127-v	wash; lave; 	cleanse (one's body) with soap and water	شووشتن(جەستەی کەسێک) بە سابوون و ئاوەوە.
ENG20-00036630-n	play; swordplay; 	the act using a sword (or other weapon) vigorously and skillfully	بەکارهێنانی لێزانانەی شمشێر(یان هەر ئامرازێکی دیکەی شەڕ) بۆ گەمە و نواندنی کارامەیی.
ENG20-00037061-n	acquiring; getting; 	the act of acquiring something	کراداری بە دەست هێنانی شتێک.
ENG20-00037473-n	causing; causation; 	the act of causing something to happen	ئەو کردارەیە کە دەبێتە هۆی روودانی شتێک.
ENG20-00037919-n	departure; going; going away; leaving; 	act of departing	کرداری چوون.
ENG20-00038353-n	discovery; find; uncovering; 	the act of discovering something	زانین بە شتێک.
ENG20-00038749-n	disposal; disposition; 	the act or means of getting rid of something	کردارێک یان ئامێرێکە کە دەتوانێ ببێتە هۆی لەکۆل کردنەوە شتێک.
ENG20-00039042-n	hit; 	(baseball) a successful stroke in an athletic contest (especially in baseball)	(بەیسباڵ)وێ‌کەوتنێکی سەرکەوتوو لە کێبەرکێیەکی وەرزشیدا(بە تایبەت لە بەیسباڵدا).
ENG20-00039108-v	groom; neaten; 	care for one's external appearance	سەرنجی زۆر دان بە رواڵەتی خۆ.
ENG20-00039290-n	implementation; effectuation; 	the act of implementing (providing a practical means for accomplishing something); carrying into effect	ئەو کردارەیە کە تێیدا سۆنگەگەلێکی شیاو بۆ قەداندنی کارێک دابین دەکرێ؛ کردنە راست.
ENG20-00039683-v	make up; 	apply make-up or cosmetics to one's face to appear prettier	بەکارهێنانی جوانکاری یان سووراوسپیاو بۆ جوان نواندنی دەم‌وچاوی کەسێک.
ENG20-00040371-n	propulsion; actuation; 	the act of propelling	کاروڕەوتی وە پێش خستن.
ENG20-00041028-n	recovery; retrieval; 	the act of regaining or saving something lost (or in danger of becoming lost)	کارورەوتی وەدەست هێنانەوە یان وە چەنگ خستنەوەی شتێکی ون‌کراو( یان خەریکەو ون‌بوون).
ENG20-00041298-n	running away; 	leaving (without permission) the place you are expected to be	رێپێنەدراوانە بەجێ هێشتنی ئەو جێگایە کە دەبا لێی بای.
ENG20-00041454-n	stunt; 	a difficult or unusual or dangerous feat; usually done to gain attention	لێهاتوویەکی سەرسووڕهێنەر یان لەبڕوابەدەر یان حەستەم؛ زۆرتر بۆ راکێشانی سەرنج دەکرێ.
ENG20-00041632-n	touch; touching; 	the act of putting two things together with no space between them	کارورەوتی لە کن یەک دانانی دوو شت بێ ئەوەی مەودایەکیان لە نێواندا هەبێ.
ENG20-00043335-n	arrival; reaching; 	accomplishment of an objective	قەداندنی مەبەستێک.
ENG20-00043484-n	arrival; 	the act of arriving at a certain place	کارورەوتی گەیشتن بە شوێنێکی دیاریکراو.
ENG20-00043938-n	advent; coming; 	arrival that has been awaited (especially of something momentous)	دەرکەوتنێک کە دواخراوە(بە تایبەت بۆ شتێکی گرینگ).
ENG20-00044113-n	entrance; entering; entry; ingress; incoming; 	the act of entering	کارورەوتی چوونە ژوورەوە.
ENG20-00044299-v	reduce; melt off; lose weight; slim; slenderize; thin; slim down; 	take off weight	دابەزینی کێش.
ENG20-00044633-v	gain; put on; 	increase (one's body weight)	زۆرکردنەوە(ی کێشی لەش).
ENG20-00045016-v	dress; get dressed; 	put on clothes	لە بەر کردنی شمەک.
ENG20-00045146-n	registration; enrollment; enrolment; 	the act of enrolling	کارورەوتی تۆمارکردن.
ENG20-00045799-v	try on; try; 	put on a garment in order to see whether it fits and looks nice	لەپەستا دە بەر کردنی جل‌وبەرگ بۆ هەڵسەنگاندنی جوانی و پێ‌کەوتنیان.
ENG20-00046282-n	return; homecoming; 	a coming to or returning home	چوونەوە یان هاتنەوە بۆ ماڵ.
ENG20-00048177-n	farewell; leave; leave-taking; parting; 	the act of departing politely	کارورەوتی بەڕێزانە بەجێ‌هێشتن.
ENG20-00048895-v	wear; put on; get into; don; assume; 	put clothing on one's body	لە بەر کەسێک کردنی شمەک.
ENG20-00050755-v	inseminate; fecundate; fertilize; fertilise; 	introduce semen into (a female)	تێکردنی ئاوی نێر لە جەستەی مێدا.
ENG20-00050879-n	emigration; out-migration; expatriation; 	migration from a place (especially migration from your native country in order to settle in another)	کۆچ‌کردن لە شوێنێکەوە(بەتایبەت کۆچ‌کردن لە زێدەوە بۆ نیشتەجێ‌بوون لە وڵاتێکی دیکەدا).
ENG20-00051366-v	impregnate; knock up; bang up; prang up; 	make pregnant	زک پڕکردن.
ENG20-00053313-n	exit; 	the act of going out	کاروڕەوتی چوونە دەرەوە.
ENG20-00053313-v	reproduce; procreate; multiply; 	have offspring or young	بە خاوەنی زارووکە یان بێچوو بوون.
ENG20-00053537-n	escape; flight; 	the act of escaping physically	کارورەوتی هەڵاتنی فیزیکی.
ENG20-00055053-v	give birth; deliver; bear; birth; have; 	give birth (to a newborn)	بە دنیا هێنان(ی تازەزایێندراوێک).
ENG20-00055949-n	dispatch; despatch; shipment; 	the act of sending off something	کاروڕەوتی ناردنی شتێک.
ENG20-00057447-n	attainment; 	the act of achieving an aim	کاروڕەوتی بەدەست هێنانی ئامانجێک.
ENG20-00057655-n	record; 	an extreme attainment; the best (or worst) performance ever attested (as in a sport)	دەستکەوتێکی یەکجار بەرز؛ چاترین(یان خراپترین) لێهاتوویییەک کە لە مێژووی شتێکدا بە دەست هاتووە(بە تایبەت لە وەرزشدا).
ENG20-00058293-n	success; 	an attainment that is successful	دەستکەوتێک کە سەرکەوتوو بێ.
ENG20-00058807-v	emasculate; castrate; demasculinize; demasculinise; 	remove the testicles of a male animal	لێ‌کردنەوەی هێلکەکانی چوارپێیەکی نێر.
ENG20-00059106-n	hit; smash; smasher; strike; bang; 	a conspicuous success	 سەرکەوتوویییەکی بەرچاو.
ENG20-00059569-v	sterilize; sterilise; desex; unsex; desexualize; desexualise; fix; 	make infertile	نەزۆک کردن.
ENG20-00060780-n	nonaccomplishment; nonachievement; 	an act that does not achieve its intended goal	کاروڕەوتێک کە ناتوانێ بە ئامانجە دیاریکراوەکەی بگا.
ENG20-00061200-n	failure; 	an act that fails	سەرنەکەوتن.
ENG20-00061264-v	irritate; 	excite to an abnormal condition, of chafe or inflame	کاردانەوەیەکی هەستی لە بەرانبەر دۆخێکی چاوەڕواننەکراوی تووڕەیی و پەرۆشیدا.
ENG20-00062014-v	relieve; alleviate; palliate; assuage; 	provide physical relief, as from pain	سووکنایی پێ‌دان بە لەش بۆ رزگاری لە ئێش.
ENG20-00062029-n	loss; 	the act of losing	کارورەوتی لە کیس چوون و لە دەست بوونەوە
ENG20-00062171-n	capitulation; fall; surrender; 	the act of surrendering (under agreed conditions)	کارورەوتی بە دەستەوە دان(بەپێی مەرجانی دیاریکراودا).
ENG20-00062508-v	hurt; 	give trouble or pain to	ئازار یان ئێش بە کەسێک گەیاندن.
ENG20-00062736-v	indispose; 	cause to feel unwell	بوونە هۆی هەست‌پێ‌کردنی ناساغی و ئازار.
ENG20-00062917-v	suffer; hurt; 	feel pain or be in pain	هەست بە ئێش کردن یان بەئێش بوون.
ENG20-00063217-v	have; 	suffer from; be ill with	ئێشدار بوون؛ دەستەو یەخە بوون.
ENG20-00063342-v	be well; 	be healthy; feel good	لەشساغ بوون؛ هەست بە ئاسوودەیی کردن.
ENG20-00063486-v	suffer; sustain; have; get; 	undergo (as of injuries and illnesses)	ئێش کێشان(بەتایبەت ئێشی زام و ناخۆشی).
ENG20-00063854-v	wail; whimper; mewl; pule; 	cry weakly or softly	لەسەرە خۆ یان بەنەرمی گریان.
ENG20-00064020-v	cry; weep; 	shed tears because of sadness, rage, or pain	لە خەفەت، تووڕەیی یان ئێش فرمێسک رشتن. 
ENG20-00064806-v	tear; 	fill with tears or shed tears	لە فرمێسک پڕبوون یان فرمێسک رشتن.
ENG20-00065349-n	mistake; error; fault; 	a wrong action attributable to bad judgment or ignorance or inattention	کردەوەیەکی نابەجێ کە بە هۆی خراپ هەڵسەنگاندن یان رەچاونەگرتن یان سەرنج‌نەدان رووبدا.
ENG20-00066405-n	blot; smear; smirch; spot; stain; 	an act that brings discredit to the person who does it	ئەو کارەورەوتەی ببێتە هۆی بێئابڕووییی ئەو کەسەی دەیکا.
ENG20-00067690-v	injure; wound; 	cause injuries or bodily harm to	بوونە هۆی ئازارگەیشتن بە لەش یان زامدار بوون.
ENG20-00068407-n	oversight; lapse; 	a mistake resulting from inattention	هەڵەیەک کە هۆکارەکەی سەرنج نەدان بێ.
ENG20-00068673-n	blunder; blooper; bloomer; bungle; foul-up; fuckup; flub; botch; boner; boo-boo; 	an embarrassing mistake	هەڵەیەکی ئابڕووبەر.
ENG20-00069649-v	pull; overstretch; 	strain abnormally	نایاسایییانە خۆ تووشی کێشە و ئازیەتی کردن.
ENG20-00072350-v	constipate; bind; 	cause to be constipated	بوونە هۆی زگ وەستان.
ENG20-00072813-v	tire; wear upon; tire out; wear; weary; jade; wear out; outwear; wear down; fag out; fag; fatigue; 	exhaust or tire through overuse or great strain or stress	ماندوویی یان وەرەز بوونێک کە  بەهۆی زێدەکەڵک‌وەرگرتن یان پەرۆشی و دڵەڕاوکێی زۆرەوە روودەدا.
ENG20-00075821-v	freeze; 	be cold	هەست بە ساردی کردن.
ENG20-00077160-n	inheritance; heritage; 	hereditary succession to a title or an office or property	لە رێگای پاشماوەی بنەماڵەیی، بە نێوبانگ یان رێگا و جیگایەک گەیشتن.
ENG20-00078744-v	administer; dispense; 	give or apply (medications)	دان یان دابین کردن(ی ساڕێژکەری پژیشکی).
ENG20-00081427-v	operate on; operate; 	perform surgery on	کارورەوتی نەشتەرگەری کردن.
ENG20-00082718-n	restitution; return; restoration; regaining; 	getting something back again	وە دەست هێنانەوەی شتێک.
ENG20-00083620-n	reception; receipt; 	the act of receiving	کارورەوتی بە دەست گەیشتنی شتێک.
ENG20-00085000-v	sicken; come down; 	get sick	ناخۆش و ناساغ بوون.
ENG20-00086816-v	disinfect; 	destroy microorganisms or pathogens by cleansing	لەنێوبردنی وردەژینەوەرەکان یان پاتۆژێنەکان لە رێگای شووشتنەوە.
ENG20-00086821-n	rescue; deliverance; delivery; saving; 	recovery or preservation from loss or danger	چاککردنەو یان پێشگری لە زیان یان مەترسی.
ENG20-00089731-v	devolve; deteriorate; drop; degenerate; 	grow worse	بەرەوە خراپە چوون.
ENG20-00090110-v	recuperate; recover; convalesce; 	get over an illness or shock	دەرباز بوون لە ناخۆشی یان پەرۆشی.
ENG20-00090828-n	performance; execution; carrying out; carrying into action; 	the act of performing; of doing something successfully; using knowledge as distinguished from merely possessing it	کارورەوتی بەئانجام گەیشتن؛ بەچاکی قەداندنی پرۆسەیەک؛ کەڵک وەرگرتن لە زانست بە چەشنێکی جیاواز لە هەبوونی لە سەر کاغەزاندا.
ENG20-00091357-n	mechanism; mechanics; 	the technical aspects of doing something	لایەنە پسپۆڕییەکانی ئەنجام دانی کارێک
ENG20-00096548-n	drive; thrust; driving force; 	the act of applying force to propel something	کارورەوتی بەکارهێنانی زۆر بۆ بەرەوە پێش خستنی کارێک
ENG20-00096978-v	exercise; work out; 	do physical exercise	ئەنجام دانی **
ENG20-00097112-n	roll; 	the act of rolling something (as the ball in bowling)	کارورەوتی خلێر کردنەوەی شتێک(وەک گوێز لە گوێزاندا)
ENG20-00100542-v	blush; crimson; flush; redden; 	turn red, as if in embarrassment or shame	لە شەرمان یان لە تەرێقی سوور هەڵاتن  
ENG20-00100844-v	pale; blanch; blench; 	turn pale, as if in fear	لە ترسان زەرد هەڵاتن
ENG20-00102093-v	discharge; expel; eject; release; 	eliminate (substances) from the body	سڕانەوە(ی ماکێک) لە جەستەوە
ENG20-00104050-v	run down; run over; 	injure or kill by running over, as with a vehicle	بە ئامرازێک بە سەر شتێکدا تێپەڕین بە سەر شتێکدا بە چەشنێک کە ببێتە هۆی بریندارکردن یان کوشتن
ENG20-00104589-n	push; pushing; 	the act of applying force in order to move something away	کارورەوتی بەکارهێنانی زۆر بۆ گواستنەوەی شتێک
ENG20-00106479-v	change; 	undergo a change; become different in essence; losing one's or its original nature	تووشی گۆرانکاری بوون؛لە دەروونەوە گۆران؛ لەسەر دانی سروشت یان پێناسە رەسەنەکانی کەسێک
ENG20-00106726-n	pull; pulling; 	the act of pulling; applying force to move something toward or with you	کارورەوتی کێشان؛ بەکار هێنانی زۆر بۆ جێ‌بەجێ کردنی شتێک بۆ لای کەسێک
ENG20-00108671-n	lift; raise; heave; 	the act of raising something	کارورەوتی هەڵهێنانی شتێک
ENG20-00112008-n	jump; jumping; 	the act of jumping; propelling yourself off the ground	کارورەوتی هەڵبەزین؛ تێکۆشان بۆ خۆ بڕین لە عەرز
ENG20-00113506-v	stay; remain; rest; 	stay the same; remain in a certain state	وەکوو خۆ مانەوە؛ لە دۆخی دیاری کراودا مانەوە
ENG20-00115095-n	shooting; shot; 	the act of firing a projectile	کارورەوتی ئاوردان و ئەنگاوتنی گوللە
ENG20-00115695-v	make; get; 	give certain properties to something	تایبەتمەندیگەلی دیاریکراو بە شتێک بەخشین
ENG20-00118002-n	hit; hitting; striking; 	the act of contacting one thing with another	کارورەوتی وێک‌خستنی دوو شت
ENG20-00118358-v	change; alter; vary; 	make or become different in some particular way, without permanently losing one's or its former characteristics or essence	لە هەندێک لایەنی تایبەتییەوە جیاواز بوون یان جیاواز کردنی کەسێک، بەبێ ئەوەی پێناسە یان سروشتەکەی تووشی گۆرانکاریی هەتاهەتایی بێ
ENG20-00119659-n	base on balls; walk; pass; 	(baseball) an advance to first base by a batter who receives four balls	(بەیسباڵ) 
ENG20-00121430-v	change; alter; modify; 	cause to change; make different; cause a transformation	بوونە هۆی گۆڕان؛ جیاواز کردن؛ گۆڕانکاری بە سەر شتێکدا هێنان
ENG20-00128104-n	kick; boot; kicking; 	the act of delivering a blow with the foot	کارورەوتی بە پێ هەڵاویشتنی تۆپ
ENG20-00129996-n	kiss; buss; osculation; 	the act of caressing with the lips (or an instance thereof)	کارورەوتی **لە رێگای لێکسوانی لێوەکان
ENG20-00130732-n	catch; grab; snatch; snap; 	the act of catching an object with the hands	کارورەوتی گرتنەوەی شتێک بە دەست
ENG20-00132263-v	affect; impact; bear upon; bear on; touch on; touch; 	have an effect upon	کارگێڕییەک لە سەر شتێک دانان
ENG20-00133306-a	following; next; 	immediately following in time or order	ئەو شتەی کت‌ومت بە دوای شتێکی دیکەدا دێ
ENG20-00133458-v	change by reversal; turn; reverse; 	change to the contrary	بۆ پێچەوانەی شتێک خۆگۆڕان
ENG20-00133506-n	check; checkout; check-out procedure; 	the act of inspecting or verifying	کارورەوتی پێداگەڕان و لێکدانەوە
ENG20-00134347-n	comparison; comparing; 	examining resemblances or differences	هەڵسەنگاندنی لێکچوویییەکان و جیاوازییەکان
ENG20-00134791-n	follow-up; followup; reexamination; review; 	a subsequent examination of a patient for the purpose of monitoring earlier treatment	هەڵسەنگاندنێکی دەوا لە جەستەی ناخۆشەکاندا بۆ زانیاری لە سەر دەرمانە پێشووەکان
ENG20-00135037-v	change integrity; 	change in physical make-up	گۆڕانکاری لە رواڵەتی فیزیکیدا
ENG20-00135866-v	change shape; change form; deform; 	assume a different shape or form	بیچم یان شێوەیەکی دیکە بە خۆ گرتن
ENG20-00137090-v	shape; form; 	give a shape or form to	بیچم یان شێوە بە شتێک بەخشین
ENG20-00138229-v	draw; 	flatten, stretch, or mold metal or glass, by rolling or by pulling it through a die or by stretching	پان‌کردنەوە، درێژکردنەوە یان چوارچەێوەبەندیی ئاسن یان شووشە
ENG20-00138787-v	twist; 	form into twists	بەدی هێنانی شتێک لە رێگای بادانەوەوە
ENG20-00140715-v	change state; turn; 	undergo a transformation or a change of position or action	بە سەر هاتنی گۆڕانکاری لە بیچم یان دەستتێوەردان لە جێگا و کردەوەی شتێک
ENG20-00144029-v	become; go; get; 	enter or assume a certain state or condition	چوونە نێو یان وە خۆ گرتنی دۆخ و هەلومەرجێکی تایبەت
ENG20-00147655-v	increase; 	make bigger or more	گەورەتر یان زۆرتر کردنەوە
ENG20-00148171-n	influence; 	causing something without any direct or apparent effort	بەبێ تێکۆشانێکی راستەوخۆ یان بەرچاو، لە سەر شتێکدا کارگێڕ بوون
ENG20-00149343-v	rise; go up; climb; 	increase in value or to a higher point	لە رێژەدا زۆربوونەوە یان بۆ ئاستێکی بەرزتر بەرز بوونەوە
ENG20-00150804-v	increase; 	become bigger or greater in amount	لە چەندێتیدا گەورەتر یان زلتر بوونەوە
ENG20-00152253-n	choice; selection; option; pick; 	the act of choosing or selecting	کاروڕەوتی هەڵبژاردن یان دیاری کردن
ENG20-00152358-v	advance; gain; 	rise in rate or price	زۆربوونەوە لە رێژە یان نرخدا
ENG20-00152639-v	raise; 	raise the level or amount of something	رێژە یان نرخی شتێک بۆ سەرێ بردنەوە
ENG20-00152940-v	accumulate; cumulate; conglomerate; pile up; gather; amass; 	collect or gather	بەرهەڤ کردن یان کۆ کردنەوە
ENG20-00153642-n	decision; determination; conclusion; 	the act of making up your mind about something	کارورەوتی هەڵبژاردنی هەڵویستێک سەبارەت بە شتێک
ENG20-00154398-n	about-face; volte-face; reversal; policy change; 	a reversal in attitude or principle or point of view	پێچەوانەیەک لە بۆچوونێک یان یاسایەک یان بیروڕایەک
ENG20-00154767-n	appointment; assignment; designation; naming; 	the act of putting a person into a non-elective position	کارورەوتی خستنی کەسێک لە دۆخێکدا کە توانی هەڵبژاردنی تێدا نەبێ
ENG20-00155250-v	change; exchange; commute; convert; 	exchange or replace with another, usually of the same kind or category	گۆڕینەوە یان جێگر کردن دەگەڵ شتێکی دی، بەتایبەت هەر لەو شێوە و ریزە
ENG20-00156695-v	replace; 	substitute a person or thing for (another that is broken or inefficient or lost or no longer working or yielding what is expected)	جێگرکردنی شتێک یان کەسێک لەباتی( بە تایبەت بۆ ئەو شتەی کە شکاوە یان بەکارنایە یان ون بووە یان چیدیکە بەچاکی کار ناکا و بەرهەمهێنەر نییە)
ENG20-00156909-n	move; 	the act of deciding to do something	کرداری هەڵبژاردنی هەڵویستێک بۆ جێ بە جێ کردنی کارێک
